logged_at,client_ip,method,url,status_code,user_agent,is_attack,attack_type,logged_at.1,ua_family,referrer
2025-05-14T08:38:47+09:00,10.134.102.114,UNKNOWN,\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA2\xE8U9\xBB...,400,-,True,tls_probe,2025-05-14T08:38:47+09:00,unknown,-
2025-05-14T16:02:54+09:00,192.168.0.82,GET,/home,302,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Edge/101.0,False,normal,2025-05-04T16:08:06+09:00,browser,https://example.com/prev
2025-05-11T21:18:51+09:00,192.168.0.137,GET,/signup?page=4,302,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",False,normal,2025-05-07T15:15:47+09:00,mobile_browser,https://bing.com/search?q=foo
2025-05-06T03:16:30+09:00,253.125.240.99,GET,/proxy?url=http://169.254.169.254/latest/meta-data/,504,Nikto/2.5.0,True,ssrf_rfi,2025-05-01T13:50:06+09:00,script,-
2025-05-09T12:31:52+09:00,192.168.0.191,POST,/signup,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/109.0,False,normal,2025-05-05T14:06:48+09:00,browser,-
2025-05-11T16:40:55+09:00,192.168.0.82,GET,/products/4.html?page=1,200,python-requests/2.25,False,normal,2025-05-05T08:12:37+09:00,script,https://example.com/prev
2025-05-10T15:31:10+09:00,192.168.0.150,POST,/login,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:114.0) Gecko/20100101 Firefox/114.0,False,normal,2025-05-01T20:14:15+09:00,browser,https://www.facebook.com/
2025-05-10T09:22:04+09:00,10.0.0.114,POST,/comment%3Fmsg%3D%3Cscript%3Ealert%28%27x%27%29%3C/script%3E,200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),True,xss,2025-05-04T09:26:50+09:00,crawler,-
2025-05-07T14:21:29+09:00,42.163.68.198,GET,/,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-02T18:50:08+09:00,browser,https://example.com/
2025-05-06T08:42:31+09:00,10.0.0.49,GET,/admin/backup%253Ffile%253Dconfig%253Becho%252Bx,500,BurpSuite Community/2025.4,True,command_injection,2025-05-07T15:17:19+09:00,pentest_tool,-
2025-05-01T21:06:01+09:00,10.0.0.231,POST,/comment?msg=<script>alert('x')</script>,200,sqlmap/1.7#stable,True,xss,2025-05-07T14:26:20+09:00,pentest_tool,-
2025-05-01T13:04:55+09:00,10.0.0.201,GET,/admin/backup?file=config;echo+x,500,python-requests/2.40,True,command_injection,2025-05-07T11:54:27+09:00,script,-
2025-05-03T15:43:38+09:00,48.182.82.19,POST,/,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-07T04:45:26+09:00,browser,-
2025-05-13T23:05:13+09:00,42.30.81.192,POST,/static/js/app.js,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),False,normal,2025-05-09T03:11:50+09:00,browser,https://example.com/
2025-05-01T11:26:10+09:00,230.132.169.21,GET,/diag/ping?host=127.0.0.1;cat+/etc/passwd,500,Nikto/2.5.0,True,command_injection,2025-05-01T12:37:59+09:00,pentest_tool,-
2025-05-03T23:50:13+09:00,109.95.180.45,POST,/,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),False,normal,2025-05-08T17:49:46+09:00,browser,-
2025-05-02T22:50:41+09:00,192.168.0.172,POST,/css/style.css,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Edge/106.0,False,normal,2025-05-06T12:08:52+09:00,browser,https://example.com/prev
2025-05-01T01:48:11+09:00,10.0.0.189,POST,/search?q=%3Cscript%3Ealert%28%27x%27%29%3C/script%3E,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,True,sql_injection,2025-05-03T20:08:57+09:00,browser,https://twitter.com/
2025-05-13T07:04:59+09:00,10.0.0.223,POST,/ping?host=8.8.8.8;cat+/etc/passwd,403,OWASP ZAP,True,command_injection,2025-05-05T16:47:43+09:00,pentest_tool,-
2025-05-02T12:03:59+09:00,78.14.223.90,BADTLS,%255Cx16%255Cx03%255Cx01%255Cx00%255Cx82%255Cx01%255Cx00...,404,wpscan/3.8.23,True,tls_probe,2025-05-03T13:24:40+09:00,pentest_tool,-
2025-05-04T22:51:53+09:00,192.168.0.48,POST,/about?page=5,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",False,normal,2025-05-06T16:25:22+09:00,browser,https://google.com/search?q=example
2025-05-07T15:27:34+09:00,192.168.0.19,GET,/home,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Edge/108.0,False,normal,2025-05-04T17:37:13+09:00,browser,https://google.com/search?q=example
2025-05-06T05:12:18+09:00,242.183.215.52,POST,/contact,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-07T07:40:02+09:00,browser,-
2025-05-01T17:16:17+09:00,10.184.184.114,POST,/login?username=user72&password=pass8179,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",False,normal,2025-05-01T17:16:17+09:00,browser,-
2025-05-13T00:56:18+09:00,10.0.0.35,GET,/proxy%253Furl%253Dhttp%253A//169.254.169.254/latest/meta-data/,500,BurpSuite Community/2025.4,True,ssrf_rfi,2025-05-05T07:00:04+09:00,pentest_tool,-
2025-05-07T00:39:08+09:00,192.168.0.92,POST,/,404,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Edge/101.0,False,normal,2025-05-06T21:46:35+09:00,browser,-
2025-05-11T00:40:15+09:00,10.0.0.4,POST,/../../../../etc/passwd,200,OWASP ZAP,True,directory_traversal,2025-05-01T19:01:56+09:00,pentest_tool,-
2025-05-09T05:58:30+09:00,22.88.170.81,GET,/api/login?username=user&password=secret,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-05T14:42:56+09:00,browser,-
2025-05-07T05:28:44+09:00,33.203.239.26,GET,/index.php?page=../../../../etc/shadow%00,403,Mozilla/5.0 (X11; Linux x86_64),True,directory_traversal,2025-05-12T23:55:33+09:00,browser,-
